"正答率-基礎問題"
"午前"
"大分類","問題番号","全国正答率(%)","貴校正答率(%)"
"解剖学","51","61.4","56.1"
"解剖学","52","54.5","68.4"
"解剖学","53","54.9","42.9"
"解剖学","54","37.0","52.0"
"解剖学","55","57.5","52.0"
"解剖学","56","58.2","71.4"
"解剖学","57","61.4","63.3"
"解剖学","58","63.2","56.1"
"解剖学","59","58.7","52.0"
"解剖学","60","65.7","59.2"
"生理学","61","45.2","58.2"
"生理学","62","41.3","42.9"
"生理学","63","65.6","78.6"
"生理学","64","58.2","70.4"
"生理学","65","60.3","55.1"
"生理学","66","55.2","50.0"
"生理学","67","43.6","37.8"
"生理学","68","74.0","79.6"
"生理学","69","39.2","51.0"
"運動学","70","34.0","45.9"
"運動学","71","39.7","32.7"
"運動学","72","54.9","52.0"
"運動学","73","15.2","12.2"
"運動学","74","81.7","77.6"
"病理学概論","75","52.0","50.0"
"病理学概論","76","47.6","46.9"
"リハビリテーション医学・概論","77","69.7","65.3"
"臨床心理学","78","35.9","39.8"
"臨床心理学","79","40.5","52.0"
"臨床心理学","80","45.6","39.8"
"臨床心理学","81","57.0","58.2"
"リハビリテーション医学・概論","82","54.3","41.8"
"人間発達学","83","46.5","52.0"
"神経・筋障害・慢性疼痛","84","41.3","56.1"
"小児の障害","85","46.2","43.9"
"神経・筋障害・慢性疼痛","86","46.5","54.1"
"骨関節障害","87","53.8","44.9"
"骨関節障害","88","68.2","64.3"
"骨関節障害","89","51.9","55.1"
"神経・筋障害・慢性疼痛","90","43.7","38.8"
"神経・筋障害・慢性疼痛","91","51.5","41.8"
"内部障害・がん関連障害","92","45.4","39.8"
"内部障害・がん関連障害","93","39.7","32.7"
"内部障害・がん関連障害","94","39.2","62.2"
"病理学概論","95","55.1","51.0"
"精神障害","96","34.2","30.6"
"精神障害","97","30.5","27.6"
"精神障害","98","33.2","26.5"
"精神障害","99","49.8","60.2"
"精神障害","100","51.0","49.0"
"午後"
"大分類","問題番号","全国正答率(%)","貴校正答率(%)"
"解剖学","51","64.3","51.0"
"解剖学","52","60.2","62.2"
"解剖学","53","67.4","79.6"
"解剖学","54","90.5","89.8"
"解剖学","55","58.2","56.1"
"解剖学","56","52.2","40.8"
"解剖学","57","44.5","38.8"
"解剖学","58","56.3","45.9"
"解剖学","59","57.3","44.9"
"解剖学","60","42.5","48.0"
"生理学","61","61.4","70.4"
"生理学","62","13.5","19.4"
"生理学","63","51.9","57.1"
"生理学","64","58.5","56.1"
"生理学","65","50.7","52.0"
"生理学","66","58.4","63.3"
"生理学","67","58.1","60.2"
